tips,trip_seconds,trip_miles,pickup_community_area,dropoff_community_area,fare,tolls,extras,trip_total
5.00,1980,14.7,,,38.00,0.00,4.00,47.00
0.00,420,1.3,,,6.50,0.00,0.00,6.50
7.25,1980,12.4,56,8,32.25,0.00,4.00,43.50
4.00,526,2.6,3,2,9.25,0.00,1.00,14.75
4.25,480,1.6,28,8,8.00,0.00,0.00,12.25
11.48,1368,13.11,56,8,32.75,0.00,5.00,49.73
5.00,1722,11.6,76,,30.50,0.00,29.00,65.00
0.00,540,3.4,32,7,11.50,0.00,1.00,12.50
0.00,540,1.44,3,77,7.00,0.00,0.00,7.00
0.00,780,3.2,8,8,11.50,0.00,1.50,13.50
0.00,360,0,8,8,6.50,0.00,0.00,6.50
0.00,360,1.1,8,7,6.00,0.00,1.00,7.00
0.00,1920,18.9,76,32,47.25,0.00,5.00,52.25
7.55,1500,13.1,76,6,33.25,0.00,4.00,45.30
0.00,420,1.1,8,8,6.50,0.00,0.00,6.50
0.00,540,3.2,11,13,10.75,0.00,0.00,10.75
3.00,460,3.2,,,10.50,0.00,4.00,18.00
8.50,1860,15.4,76,6,38.50,0.00,4.00,51.00
0.00,1620,16.9,76,8,41.50,0.00,5.00,46.50
2.00,480,0,32,8,7.75,0.00,0.00,9.75
6.50,2039,13.72,76,6,35.75,0.00,4.00,46.75
9.15,1531,16.7,76,8,41.25,0.00,4.00,54.90
0.00,330,0.64,8,8,5.25,0.00,1.00,6.25
18.00,3180,0,56,,70.75,0.00,42.00,130.75
3.00,360,0.9,32,32,6.00,0.00,1.00,10.00
5.75,1380,8.1,4,32,23.00,0.00,0.00,28.75
0.00,517,1.9,7,8,8.50,,0.00,8.50
9.45,2680,15.83,76,,40.75,0.00,6.00,56.70
0.00,420,1.1,8,7,6.25,0.00,0.00,6.25
0.00,1725,14.8,76,7,37.50,0.00,4.00,41.50
9.80,1560,16,1,8,39.50,0.00,9.00,58.80
9.30,1980,16,,,40.50,0.00,6.00,55.80
22.70,2773,30.3,76,,71.50,,42.00,136.20
12.25,1940,17.85,76,32,44.50,0.00,4.00,61.25
0.00,0,0,24,24,3.25,0.00,0.00,3.25
0.00,1376,15.29,76,24,37.75,0.00,4.00,41.75
2.00,745,3.6,3,77,12.00,,0.00,14.00
0.00,467,1.72,32,32,7.75,0.00,0.00,7.75
0.00,1560,14.6,76,24,36.50,0.00,4.00,40.50
5.55,1320,9.8,32,15,26.75,0.00,1.00,33.30
0.00,552,1.69,8,7,8.00,0.00,1.50,9.50
8.05,1440,14.1,76,24,35.75,0.00,4.00,48.30
0.00,900,0,32,6,18.75,0.00,0.00,18.75
7.12,1525,17.7,76,32,43.00,0.00,4.00,54.62
0.00,314,1.2,,,6.25,0.00,0.00,6.25
0.00,600,0,32,33,10.00,0.00,0.00,10.00
0.00,3240,21.2,,,53.50,0.00,37.00,91.00
0.00,239,1.06,16,16,5.50,0.00,0.00,5.50
3.45,784,6.1,32,6,17.25,,0.00,20.70
1.00,240,0,32,32,5.00,0.00,0.00,6.00
0.00,960,0,32,60,16.75,0.00,0.00,16.75
3.60,960,6.5,8,5,18.00,0.00,0.00,21.60
0.00,1440,0.9,76,24,39.25,0.00,4.00,43.25
8.45,1440,15.6,76,24,38.25,0.00,4.00,50.70
4.00,444,1.3,32,8,7.00,0.00,0.00,11.50
0.00,60,0,39,39,3.25,0.00,1.00,4.25
0.00,1920,13.2,76,2,33.75,0.00,4.00,37.75
4.00,1020,4.6,32,7,15.50,0.00,1.50,21.00
2.00,600,2.6,32,7,10.00,0.00,0.00,12.00
1.50,240,0,8,8,5.25,0.00,0.00,6.75
0.00,769,5.3,76,,15.50,0.00,4.00,19.50
0.00,600,0,77,2,8.00,0.00,0.00,8.00
0.00,352,1.78,23,25,7.25,0.00,0.00,7.25
3.90,660,4.9,76,10,14.50,0.00,5.00,23.90
0.00,240,1.1,8,8,5.75,0.00,1.00,6.75
0.00,1034,7.29,8,21,20.75,0.00,1.00,22.25
1.00,251,0.74,8,8,5.25,0.00,1.00,7.75
0.00,579,2.1,28,32,9.00,0.00,1.50,10.50
3.75,943,6.44,8,5,18.25,0.00,0.50,22.50
2.00,300,0.9,32,8,5.50,0.00,0.00,8.00
0.00,3345,29.1,76,12,69.75,0.00,6.00,75.75
0.00,1318,12.97,8,10,33.25,0.00,0.00,33.25
0.00,271,1.12,2,2,6.00,0.00,0.00,6.00
4.00,420,3,,,10.00,0.00,4.00,18.00
0.00,780,4.6,8,31,14.50,0.00,0.00,14.50
0.00,300,1.2,32,8,6.50,0.00,1.00,7.50
4.35,960,8,8,77,21.75,0.00,0.00,26.10
0.00,830,2.86,1,77,10.50,0.00,0.00,10.50
8.00,1920,14.1,76,,36.75,0.00,6.00,51.25
0.00,900,6.13,32,3,18.25,0.00,0.00,18.25
0.00,240,0.5,8,8,5.00,0.00,0.00,5.00
8.05,1680,14.3,76,6,36.25,0.00,4.00,48.30
4.40,2220,15.8,76,,40.00,0.00,4.00,48.40
2.05,420,0.1,32,24,10.25,0.00,0.00,12.30
1.25,360,1,28,32,6.25,0.00,0.00,7.50
8.80,2096,15.6,76,6,39.50,0.00,4.00,52.80
3.45,1380,2.9,16,16,17.25,0.00,0.00,20.70
0.00,0,0,,,3.25,0.00,0.00,3.25
0.00,1176,1.6,76,24,4003.97,0.00,0.40,4004.37
0.00,780,0.1,8,32,9.50,0.00,0.00,9.50
5.00,1380,10.8,56,33,28.00,0.00,4.00,37.00
7.85,1758,13.59,76,3,34.75,0.00,4.00,47.10
0.00,303,0.72,8,8,5.50,0.00,0.00,5.50
0.00,1250,12.69,76,22,32.50,0.00,4.50,37.00
2.85,660,3.2,32,24,11.50,0.00,0.00,14.35
9.10,1615,15.82,76,8,40.00,0.00,5.00,54.60
10.20,1246,9.63,56,,26.00,0.00,24.50,61.20
4.00,120,0,32,28,4.50,0.00,0.00,8.50
0.00,180,0,32,32,5.00,0.00,0.00,5.00
10.05,1680,0,76,,44.25,0.00,6.00,60.30
6.10,1260,0.5,32,77,24.50,0.00,0.00,30.60
0.00,180,0,32,8,5.00,0.00,0.00,5.00
0.00,60,0.1,8,8,3.50,0.00,0.00,3.50
0.00,360,1.5,32,8,6.75,0.00,1.00,7.75
3.00,259,1.3,8,32,6.25,0.00,1.00,10.75
5.00,480,0.1,76,,10.00,0.00,10.00,25.00
3.69,1063,3.8,2,2,14.25,0.00,0.00,18.44
9.00,1320,0,76,8,41.00,0.00,4.00,54.00
3.00,661,2.9,8,24,10.75,0.00,0.00,14.25
0.00,826,2.87,16,6,11.00,0.00,0.00,11.00
5.00,240,0,32,32,5.25,0.00,2.00,12.25
0.00,1419,10.3,76,76,27.25,,0.00,27.25
3.40,759,5.4,32,6,16.00,,1.00,20.40
0.00,568,1.7,16,14,8.00,,0.00,8.00
0.00,480,2.1,8,24,8.75,,1.50,10.25
5.25,1800,6.3,32,6,20.00,0.00,1.00,26.25
7.00,300,0.9,32,32,5.50,0.00,1.50,14.00
0.00,0,0,44,44,3.25,0.00,6.50,9.75
0.00,720,0,33,33,7.00,0.00,0.00,7.00
0.00,540,0,8,24,8.25,0.00,0.00,8.25
0.00,1479,17.93,76,11,44.00,0.00,5.00,49.00
2.00,396,1.41,32,8,6.75,0.00,0.00,9.25
0.00,660,2.1,32,8,9.00,0.00,2.00,11.00
2.00,557,1.61,28,8,8.25,0.00,1.00,11.75
4.80,800,3.03,76,76,11.00,0.00,4.50,20.80
0.00,420,0,3,6,6.50,0.00,0.00,6.50
0.00,2160,13.2,76,3,33.75,0.00,4.00,37.75
0.00,1813,15.6,76,7,39.75,,5.00,44.75
8.55,1200,0.7,76,21,30.25,0.00,4.00,42.80
8.85,1740,1,76,24,40.25,0.00,4.00,53.10
0.00,1860,9.2,8,4,27.25,0.00,1.50,28.75
0.00,1418,17,76,76,42.00,0.00,0.00,42.00
1.00,480,1.7,32,8,7.75,0.00,0.00,8.75
3.60,948,5.33,8,22,16.50,0.00,1.00,21.60
3.20,831,5.3,8,22,16.00,,0.00,19.20
0.00,1560,16.4,76,8,41.00,0.00,4.00,45.00
0.00,180,0.9,77,77,5.25,0.00,0.00,5.25
3.00,403,1.44,7,6,6.75,0.00,0.00,10.25
8.00,1740,18.3,76,32,45.25,0.00,5.00,58.25
0.00,760,1.5,8,8,8.75,0.00,0.00,8.75
0.00,240,0.7,32,8,5.25,0.00,1.00,6.25
0.00,0,0,33,33,3.25,0.00,0.50,3.75
0.00,300,0.8,8,32,5.75,0.00,0.00,5.75
0.00,307,0.84,28,28,5.25,0.00,1.00,6.25
0.00,226,0.62,8,8,4.75,0.00,1.00,5.75
0.00,1394,7.5,28,4,22.25,,0.00,22.25
3.00,183,0.9,28,24,5.25,0.00,0.00,8.75
2.00,444,3.58,8,22,11.50,0.00,0.00,14.00
0.00,540,1.4,8,8,7.25,0.00,0.00,7.25
9.25,1560,17.6,,,42.25,0.00,4.00,55.50
0.00,300,1.2,32,8,6.25,0.00,2.00,8.25
4.00,0,0,33,33,3.25,0.00,52.50,59.75
8.50,1920,15.8,76,6,38.50,0.00,4.00,51.00
0.00,300,0.5,32,32,5.00,0.00,0.00,5.00
0.00,526,1.98,8,7,8.25,0.00,0.00,8.25
6.65,1560,0.8,34,77,33.25,0.00,0.00,39.90
4.10,1080,6.8,32,6,19.50,0.00,1.00,24.60
2.45,720,3.1,32,31,11.25,0.00,1.00,14.70
2.00,540,0,32,8,8.00,0.00,0.00,10.00
13.12,2154,15.18,76,77,39.25,0.00,4.00,56.87
2.00,290,1.2,32,28,6.00,0.00,0.00,8.50
8.15,2160,14.4,76,1,36.75,0.00,4.00,48.90
0.00,660,0,24,22,10.25,0.00,0.00,10.25
0.00,2760,25.7,76,28,63.25,0.00,5.50,68.75
4.35,900,5.4,32,6,16.50,0.00,1.00,21.85
11.56,1815,16.84,76,,42.25,0.00,4.00,57.81
0.00,2052,15.99,76,6,41.25,0.00,4.50,45.75
0.00,600,2.2,8,28,8.75,0.00,1.00,9.75
0.00,1680,12.2,76,4,31.75,0.00,4.00,35.75
11.75,1980,17,56,4,42.50,0.00,4.00,58.75
0.00,4147,36.43,28,,86.50,0.00,23.50,110.50
3.00,660,0.3,32,6,15.00,0.00,0.00,18.00
0.00,420,2.7,8,24,9.50,0.00,0.00,9.50
7.90,1615,13.7,76,6,35.00,0.00,4.00,47.40
0.00,1560,9.3,8,13,25.75,0.00,0.00,25.75
0.00,180,0.5,8,8,4.50,0.00,0.00,4.50
0.00,480,0,8,8,7.25,0.00,1.00,8.25
0.00,840,0.2,33,24,14.25,0.00,0.00,14.25
4.00,561,2.12,28,24,8.75,0.00,0.00,13.25
0.00,960,9,32,77,24.50,0.00,1.00,25.50
19.05,1980,17.9,76,8,44.50,0.00,4.00,67.55
0.00,1585,13.37,76,6,34.25,0.00,4.00,38.25
0.00,485,2.9,,,10.00,0.00,0.00,10.00
5.00,60,0,,,3.25,0.00,40.00,48.25
0.00,961,5.5,23,23,11.50,0.00,0.00,11.50
4.06,843,5.1,8,3,15.75,0.00,0.00,20.31
3.40,831,5.56,32,7,16.50,0.00,0.00,20.40
0.00,2,0,37,37,3.25,,0.00,3.25
2.30,720,0,32,24,11.50,0.00,0.00,13.80
0.00,420,0.7,32,32,6.00,0.00,0.00,6.00
3.00,250,0.4,1,1,4.25,,0.00,7.25
1.05,256,0.73,32,28,5.25,0.00,0.00,6.30
2.00,300,0.8,8,8,5.25,0.00,1.00,8.25
0.00,1191,8.29,8,4,22.50,0.00,0.00,22.50
0.00,59,0,8,32,3.50,,0.00,3.50
0.00,368,0.96,,,6.00,0.00,0.00,6.00
0.00,1560,11.2,76,,29.50,0.00,4.00,33.50
2.00,420,0,32,28,6.75,0.00,1.00,9.75
2.65,921,3.53,8,24,12.75,0.00,0.00,15.90
0.00,332,1.2,8,32,6.50,0.00,0.00,6.50
4.20,1456,6.39,8,3,19.50,0.00,1.00,25.20
0.00,38,0,1,1,3.25,0.00,0.00,3.25
3.00,397,1.4,32,8,7.00,0.00,0.00,10.50
0.00,683,1.93,8,8,8.50,0.00,0.00,8.50
14.65,2100,18.3,76,,44.75,0.00,28.00,87.90
0.00,62,0,76,76,400.30,0.00,0.08,400.38
3.00,1080,0,32,7,14.00,0.00,1.00,18.00
0.00,300,0.9,32,8,6.00,0.00,1.00,7.00
9.30,1605,17.22,76,28,42.00,0.00,4.00,55.80
0.00,0,0,60,60,3.25,0.00,0.00,3.25
0.00,120,0.4,,,4.00,0.00,0.00,4.00
0.00,360,0.7,8,8,5.75,0.00,0.00,5.75
0.00,720,2.4,22,24,10.00,,0.00,10.00
0.00,240,0.5,8,8,4.75,0.00,1.00,5.75
4.00,240,0,32,8,5.50,0.00,3.00,12.50
0.00,1020,9.6,8,,25.00,0.00,0.00,25.50
0.00,60,0.1,8,8,3.75,0.00,0.00,3.75
3.81,819,4.65,32,7,14.75,0.00,0.00,19.06
0.00,120,0.4,32,32,4.25,0.00,2.00,6.25
8.00,2121,14.67,76,77,37.75,0.00,4.00,50.25
0.00,531,2.24,8,7,9.25,0.00,0.00,9.25
7.60,1502,11.57,,,50.15,0.00,0.00,58.25
0.00,180,0.7,7,8,4.75,0.00,0.00,4.75
0.00,480,2.4,,,9.00,0.00,0.00,9.00
10.00,1740,18,76,8,44.75,0.00,4.00,58.75
12.65,2040,14.7,76,6,38.25,0.00,4.00,54.90
2.00,504,1.78,32,8,8.00,0.00,0.00,10.50
0.00,240,0,16,16,5.25,0.00,0.00,5.25
1.16,480,0,32,8,7.75,0.00,0.00,8.91
0.00,2226,4.23,,,22.25,0.00,0.00,22.25
0.00,1251,8.19,31,,22.00,0.00,0.00,22.00
0.00,0,0,,,2.00,0.00,0.00,2.00
0.00,660,0.2,76,,13.50,0.00,11.50,25.00
5.70,1551,8.6,76,17,24.00,0.00,4.00,34.20
3.00,352,1.32,8,8,6.50,0.00,0.00,10.00
12.98,1605,15.06,76,3,38.25,0.00,4.50,56.23
9.00,1980,18.9,76,33,47.00,0.00,4.00,60.00
0.00,622,2.34,32,28,9.75,0.00,0.00,9.75
0.00,1673,14.48,32,52,36.75,0.00,0.00,36.75
0.00,1365,8.62,,,23.20,0.00,0.00,23.20
5.00,1680,16.8,76,8,42.25,0.00,5.00,52.25
0.00,875,5.7,32,7,17.00,,0.50,17.50
0.00,1393,17.28,76,24,42.50,0.00,4.00,46.50
2.00,702,2.62,1,2,10.00,0.00,0.00,12.50
9.00,1860,16,76,,40.00,0.00,5.00,54.00
0.00,300,1,6,6,5.75,0.00,0.00,5.75
0.00,233,0.59,32,32,5.00,0.00,1.00,6.00
6.50,2040,0.8,28,,37.00,0.00,1.50,45.00
2.00,480,1.2,8,8,7.00,0.00,0.00,9.00
8.00,1740,15,76,7,37.75,0.00,4.00,49.75
0.00,300,0,32,8,5.50,0.00,0.00,5.50
9.65,1491,17.9,76,8,43.75,0.00,4.00,57.90
2.00,360,1.7,32,33,7.50,0.00,0.00,9.50
0.00,585,4.53,76,76,13.75,0.00,5.00,18.75
5.00,1440,14.6,76,,35.75,2.00,21.75,64.50
6.00,480,2.7,76,,9.75,0.00,4.00,19.75
2.00,541,2.44,32,24,9.25,0.00,0.00,11.75
2.00,395,1.44,8,8,7.00,0.00,1.00,10.50
2.20,720,3.1,28,7,11.00,0.00,0.00,13.20
0.00,1140,4,8,33,14.25,0.00,3.00,17.25
10.50,1920,14.5,76,6,37.00,0.00,5.00,52.50
8.80,2220,15.2,,,39.50,0.00,4.50,53.30
0.00,152,0.43,8,8,4.25,0.00,0.00,4.25
0.00,2705,32.76,76,,77.75,0.00,42.50,120.25
2.00,700,5.6,,,16.75,,0.00,18.75
7.55,1980,13.1,76,3,33.75,0.00,4.00,45.30
0.00,1980,1.1,76,32,46.00,0.00,2.00,48.00
12.20,1380,14.9,76,24,36.75,0.00,4.00,52.95
3.00,720,0.1,24,5,10.00,0.00,0.00,13.00
0.00,689,2.28,,,8.00,0.00,0.00,8.00
0.00,2945,29.17,28,,69.50,0.00,20.50,90.50
1.00,480,0,4,2,8.50,0.00,0.00,9.50
14.10,2815,29.33,8,,70.00,0.00,0.00,84.60
0.00,6211,14.93,37,,37.75,0.00,0.00,37.75
0.00,808,2.3,28,33,10.50,0.00,0.00,10.50
0.00,480,0.1,32,8,8.00,0.00,0.00,8.00
8.00,1498,17,76,8,42.00,,4.00,54.00
0.00,1740,1,76,8,41.50,0.00,5.00,46.50
0.00,1680,11.1,32,14,31.00,0.00,0.00,31.00
5.90,1140,9.7,76,15,25.50,0.00,4.00,35.40
2.00,240,0,8,8,5.25,0.00,1.00,8.25
0.00,360,1,,,5.75,0.00,1.00,6.75
8.85,1680,0.9,76,8,40.25,0.00,4.00,53.10
4.00,540,0.1,8,32,8.25,0.00,1.00,13.25
3.00,900,0.2,32,31,15.00,0.00,0.00,18.00
2.00,316,1.1,32,28,6.00,0.00,0.00,8.50
2.00,105,0.4,32,8,4.25,0.00,0.00,6.75
2.00,300,0.8,,,5.25,0.00,3.00,10.25
0.00,120,0.6,8,8,4.75,0.00,1.00,5.75
8.30,1380,14.8,76,22,37.00,0.00,4.00,49.80
7.90,1200,14.2,76,22,35.00,0.00,4.00,47.40
0.00,1228,3.7,6,77,13.25,0.00,0.00,13.25
0.00,300,1.6,,,7.00,0.00,1.00,8.00
0.00,280,0.4,8,8,5.00,0.00,0.00,5.00
5.00,1795,14.5,76,6,37.00,,4.00,46.00
4.00,1348,15.76,76,24,38.75,0.00,4.00,47.25
5.51,1266,12.56,76,5,32.25,0.00,4.00,42.26
4.00,420,1.2,32,33,6.75,0.00,0.00,10.75
0.00,1080,3.6,25,,13.00,0.00,0.00,13.00
3.00,1200,8.9,32,77,24.25,0.00,0.00,27.25
2.00,581,2.15,8,33,9.50,0.00,0.00,12.00
0.00,1560,0,76,,37.75,0.00,23.00,60.75
7.00,1920,1,76,7,41.75,0.00,4.00,52.75
3.00,420,1,32,28,6.50,0.00,0.00,9.50
1.44,339,1.19,28,32,6.50,0.00,1.50,9.44
0.00,180,0.6,32,8,4.75,0.00,0.00,4.75
0.00,420,0,8,8,7.00,0.00,0.00,7.00
2.70,900,0,8,7,13.50,0.00,0.00,16.20
2.00,360,0,32,8,6.75,0.00,0.00,8.75
0.00,2246,14.95,76,1,39.00,0.00,4.00,43.00
8.80,1278,16.13,,,39.50,0.00,4.00,52.80
3.70,1140,6.2,8,3,18.50,0.00,0.00,22.20
0.00,6441,24,77,,73.00,0.00,0.00,73.00
2.95,720,4.7,32,7,14.25,0.00,0.00,17.70
